NFZ,Latitude,Longitude
100 Kirk Ave,37.378155,-121.824088
100 Oak St,43.00639,-78.191687
100 Skyway Dr Ste 130,34.8946407,-120.4390297
1001 Schhouse Rd,41.6076547,-88.2780338
102 Sonora Ave,37.5043897,-122.4773638
1051 W San Fernando St,37.3290633,-121.9109737
1055 South Monroe St,30.4334493,-84.2806376
1060 East Empire St,40.4883423,-88.9780037
1081 Foxworthy Ave,37.2786429,-121.8788007
1088 Brd.Way,40.7429384,-73.9891671
1100 Summerdale Dr,35.4562058,-94.2391988
1101 Strayer Dr,37.3067144,-122.0081786
1149 East Julian St Bldg. G,37.351173,-121.8728422
1150 Rajkovich Way,37.2077983,-121.8515333
1155 East Julian St,37.3509806,-121.8720554
1155 East Julian St,37.3509806,-121.8720554
1170 Foxworthy Ave,37.2771268,-121.8818859
1175 Hillsdale Ave,37.275219,-121.8810318
1188 Wunderlich Dr,37.3038999,-121.9987066
1198 Redmond Ave,37.2282893,-121.87295
1200 Blossom Hill Rd,37.248993,-121.879562
121 Avenida Grande,42.285997,13.654648
1212 McGinness Ave,37.3510749,-121.8227634
1224 Del Mar Ave,38.1261889,-122.232175
1240 Taper Ln,37.3215368,-121.8406829
1241 McGinness Ave,37.3498741,-121.8235248
1250 South King Rd,37.3379438,-121.8401708
1250 Taper Ln,37.3210991,-121.8395643
1260 Branham Ln,37.2602208,-121.8829014
1280 Johnson Ave,37.8404359,-89.5119704
1280 Koch Ln,37.2805668,-121.8878512
1290 Bal Harbor Dr,38.412437,-90.3549251
1290 Blossom Hill Rd,37.2471368,-121.8825887
1290 Blossom Hill Rd,37.2471368,-121.8825887
1290 Kimberly Dr,37.2695342,-121.883218
1290 Ridder Park Dr,37.383909,-121.9002343
1295 Dentwood Dr,37.2514516,-121.8848734
1300 Tallahassee Dr,26.7030208,-80.0979807
1311 Vinci Park Way,37.3801455,-121.8728985
1313 Audubon Dr,37.4688284,-79.2691522
1325 Bouret Dr,37.2567226,-121.8872382
1351 Lightland Rd,37.2958706,-121.8116211
1376 Piedmont Rd,34.0201209,-84.5132396
1377 Piedmont Rd,34.0184285,-84.5111461
13901 Nordyke Dr,37.3591397,-121.8235376
1401 Turlock Ln,37.4001294,-121.856584
141 Avenida Espana,41.0690689,-4.8091398
1425 Lincoln Ave,42.706672,-94.2270071
1425 Old Piedmont Rd,37.4066137,-121.8478699
14271 Story Rd,37.3592124,-121.8161018
14275 Candler Dr,32.8751397,-97.3231729
1450 Leigh Ave,37.2968082,-121.9221216
1460 Colt Way,37.3007282,-121.8101781
1460 The Alameda,37.3341746,-121.914062
149 North White Rd,37.3703378,-121.8320093
1524 Jacob Ave,37.2632722,-121.894418
15325 Woodard Rd,37.2609686,-121.9362914
1560 Berger Dr,37.3723432,-121.8968564
1565 S White Rd,37.3483404,-121.8130962
1570 Branham Ln,37.2530586,-121.898164
15711 Woodard Rd,37.2608685,-121.9436212
1590 Dry Creek Rd,38.3214791,-122.3307237
1590 Minnesota Ave,45.3106444,-95.6069362
1598 Lucretia Ave,37.3256306,-121.8530319
1601 Cunningham Ave,37.3268005,-121.835174
1602 Lucretia Ave,37.3255229,-121.85129
1610 Bird Ave,37.3025623,-121.8852001
1610 Bird Ave,37.3025623,-121.8852001
1631 Peregrino Way,37.289971,-121.909372
1635 Park Ave,30.1697658,-81.7011287
1702 McLaughlin Ave,37.3260415,-121.8463264
1711 East San Antonio St,37.3508239,-121.8516916
1718 Andover Ln Ste 6,33.153537,-97.083854
1720 Hopkins Dr,37.337809,-121.829651
1720 Hopkins Dr,37.337809,-121.829651
1721 East San Antonio St,37.3510818,-121.8522433
1745 June Ave,37.330775,-121.838966
1750 South White Rd,37.3461624,-121.8082669
1750 South White Rd,37.3461624,-121.8082669
1755 Gilda Way,37.2382523,-121.9137842
1774 Foxworthy Ave,37.26771,-121.915091
1776 Edal Park Dr,40.2300537,-74.0019823
1776 Edal Park Dr,40.2300537,-74.0019823
1781 Olivetree Dr,37.3977717,-121.8800132
1790 Edal Park Dr,40.2301418,-74.0019341
1800 Fruitdale Ave,37.310014,-121.9253518
1800 Fruitdale Avenue,37.310014,-121.9253518
1824 Daytona Dr,37.3351293,-121.827458
1835 Cunningham Ave,37.3323884,-121.8296676
1835 Cunningham Ave,37.3323884,-121.8296676
1840 Harris Ave,29.6987242,-95.1860586
1855 Lencar Way,37.2562422,-121.9199825
1855 Lucretia Ave,37.3203996,-121.8481256
1855 Lucretia Ave,37.3203996,-121.8481256
1855 Majestic Way,37.4106576,-121.8581508
1865 Monrovia Dr,37.315045,-121.812339
1881 Cunningham Ave,37.3301968,-121.8291168
1944 Flint Ave,33.577288,-101.8813004
1966 Flint Ave,33.5770085,-101.8813008
1966 Flint Ave,33.5770085,-101.8813008
1970 Cinderella Ln,37.344197,-121.840396
1970 Morrill Ave,37.4102055,-121.8695182
1970 Willow St,37.2989245,-121.9218108
198 West Alma Ave,37.3134607,-121.8775816
1999 Olive St,39.7474381,-104.9069829
2000 Kammerer Ave,37.349516,-121.8450642
2001 Cottle Ave,37.2526845,-121.8040222
2001 Cottle Ave,37.2526845,-121.8040222
2010 Daniel Maloney Dr,37.307495,-121.8011858
2025 Clarice Dr,37.3268087,-121.8220259
2050 Kammerer Ave,37.3511971,-121.8427349
2050 Kammerer Ave,37.3511971,-121.8427349
2095 Warmwood Ln,37.4141312,-121.8711802
2101 Moorpark Ave,37.3163652,-121.9280766
2105 Cottle Ave,37.2526617,-121.8040294
2105 Forest Ave,39.722124,-121.800402
2130 Los Gatosalmaden Rd,37.2427356,-121.9344002
2151 Oakland Road,37.3962328,-121.9053495
2220 Woodbury Ln,46.5856477,-90.8436876
2223 Camden Ave,39.2549571,-81.550233
2249 Dobern Ave,37.35207,-121.8389196
2278 Booksin Ave,37.2831987,-121.9030702
2280 Kenwood Ave,43.0257034,-92.3377039
2281 Plummer Ave,37.2832957,-121.9000572
230 Pala Ave,37.3680689,-121.8386968
2315 Canoas Garden Ave,37.2920879,-121.8747137
2350 Leigh Ave,37.2794621,-121.9228594
2400 Flint Ave,33.5725713,-101.8812948
2421 Carlton Ave,37.2476044,-121.9459032
2475 Van Winkle Ln,37.3499867,-121.831914
2550 Greengate Dr,37.394137,-121.8645173
258 Sunol St,37.3247501,-121.9055305
2605 Gassmann Dr,37.3086768,-121.8365302
2650 New Jersey Ave,38.9940951,-74.810417
2655 Alvin Ave,37.3158486,-121.8243908
2702 Sugar Plum Dr,26.3391784,-80.1012694
2715 S White Rd,37.3272106,-121.7987783
2720 S Bascom Ave,37.2719786,-121.9355105
275 North 24th St,39.9342172,-91.3776435
275 North 24th St,39.9342172,-91.3776435
2760 East Trimble Rd,35.8777594,-86.2037945
277 Mahoney Dr,37.370497,-121.8145232
2790 S King Rd,37.314855,-121.817705
280 Martinvale Ln,37.2238651,-121.7831285
2800 New Jersey Ave,38.9935954,-74.8110465
2800 Ocala Ave,37.3417359,-121.8163113
2841 Junction Ave Ste 100,42.3244545,-83.1066268
285 Azucar Ave,37.2622281,-121.8034586
285 Blossom Hill Rd,37.252798,-121.8195734
2851 Gay Ave,37.5255574,-77.3755388
2851 Gay Ave,37.5255574,-77.3755388
2880 Aetna Way,37.3063536,-121.8242981
2962 Story Rd,37.3543729,-121.821379
2995 Rossmore Way,37.3197893,-121.7984881
2999 Ridgemont Dr,33.9047052,-98.5515808
300 Oconnor Dr,37.3253816,-121.9393092
300 Santana Row  Suite 200,37.3230145,-121.9476795
3010 Fowler Rd,39.8834435,-83.9171924
310 Edwards Ave,40.9140311,-72.7459822
3122 Fowler Rd,39.8811005,-83.9174541
3150 Sierra Rd,37.3973266,-121.8517621
3155 Kimlee Dr,37.4037766,-121.856474
3190 Quimby Rd,37.3244766,-121.7852931
3200 Millbrook Dr,31.4329088,-100.4802046
3200 Senter Rd,37.2924905,-121.8313803
3200 Water St,44.6632139,-73.7275107
3241 Remington Way,37.3283362,-121.7898276
325 N 3rd St,41.3150851,-105.5931357
3276 Cortona Dr,37.3118301,-121.7617765
330 Bluefield Dr,37.2714633,-121.8456285
3300 Quimby Rd,37.324365,-121.7793076
331 South 34th St,39.950257,-75.1926155
3311 Lucian Ave,37.3809413,-121.8328352
3320 San Felipe Rd,36.8988869,-121.4023019
333 North 33rd St,42.2905219,-85.4436484
3411 Rocky Mountain Dr,37.352437,-121.8006643
3434 Silver Creek Rd,32.8026411,-97.5007879
3435 Birchwood Ln,33.4268256,-86.7696046
3466 Grossmont Dr,37.3942531,-121.8383632
3500 Amber Dr,34.180506,-77.883594
370 Wooster St,34.2255708,-77.9433064
3701 Rue Mirassou Dr,37.321674,-121.7694567
3703 Silver Creek Rd,32.7743122,-97.4757966
3720 East Hills Dr,37.3682084,-121.8151224
3750 Gleason Ave,37.2970709,-121.9674556
3799 Cadwallader Ave,37.3066469,-121.7881632
3850 Woodford Dr,37.2607574,-121.9106285
3924 Picardy Place Court,37.297327,-121.80434
3925 Pearl Ave,37.2709762,-121.8685501
3975 Mira Loma,39.4870161,-119.7586907
4 Wabash Ave,39.473015,-76.8185242
4000 Rhoda Dr,37.303652,-121.971571
4021 Teale Ave,37.3027965,-121.9726442
4021 Teale Ave,37.3027965,-121.9726442
4075 Sacramento Ave,38.437372,-122.666223
410 Sautner Dr,37.2303998,-121.8085248
4121 Mackin Woods Ln,37.311861,-121.765364
420 Calero Ave,37.241321,-121.826631
420 Tully Rd,37.3047222,-121.8519112
4245 Meg Dr,37.269733,-121.854977
4250 Latimer Ave,37.292391,-121.978038
4280 Partridge Dr,37.30232,-121.779583
4450 McCoy Ave,37.2760185,-121.9825106
455 Los Arboles St,37.2856052,-121.8312786
4600 Student Ln,37.2891697,-121.983833
4601 Hyland Ave,37.3721066,-121.8273644
4645 Albany Dr,27.588663,-99.5141446
4660 Eastus Dr,37.3058493,-121.9866738
470 East Jackson St,39.7237348,-104.9425217
480 Rough And Ready Rd,34.3149683,-79.0209178
480 S White Rd,37.361845,-121.823769
4825 Speak Ln,37.2611636,-121.8795034
4835 Doyle Rd,38.1094237,-104.4596111
4845 Bucknall Rd,37.2839589,-121.9856037
4850 Pearl Ave,37.2621008,-121.8633689
495 Massar Ave,37.3545442,-121.834189
4950 Mitty Way,37.314849,-121.991438
4955 Edenview Dr,37.267656,-121.813567
500 Rough And Ready Rd,34.2758146,-78.7511365
500 Saratoga Ave,37.337141,-121.95858
5000 Farnsworth Dr,37.2800565,-121.7602944
5000 Lyng Dr,37.271336,-121.805466
502 Illinois Ave,41.568456,-83.6676196
5035 Edenview Dr,37.2670316,-121.8121365
5035 Poston Dr,37.2621229,-121.8272163
5050 Moorpark Ave,37.3106456,-121.9900365
51 N 9th St,32.9808754,-115.5278734
5100 Camden Ave,37.2460617,-121.9068007
511 Cozy Dr,37.2329918,-121.8238442
5140 Country Ln,37.2975862,-121.9909701
5200 Dent Ave,44.5120961,-93.3524415
5200 Dent Ave,44.5120961,-93.3524415
5210 Leigh Ave,37.2420995,-121.9207528
530 Gettysburg Dr,35.7094638,-88.8225495
5300 Carter Ave,39.347127,-76.558974
5345 Avenida Almendros,37.25733,-121.836114
540 Sands Dr,31.567099,-84.1340422
540 Sands Dr,31.567099,-84.1340422
55 North Seventh St,33.4490346,-112.0650156
555 Dana Ave,37.32789,-121.9242084
5575 Dartmouth Dr,41.1302775,-85.1293471
5629 Lean Ave,37.2496475,-121.8177404
565 Coyote Rd,37.2796325,-121.8185998
5670 Camden Ave # 102,37.2350769,-121.901972
57 North White Rd,37.3672431,-121.8306497
5800 Calpine Dr,37.2474473,-121.8116818
5828 Santa Teresa Blvd,37.2373842,-121.8403928
5845 Allen Ave,34.1502149,-115.9400193
5920 Bufkin Dr,37.2410553,-121.8203823
5955 Blossom Ave,37.2393892,-121.8384985
596 S 2nd St,35.9112586,-100.3890131
6044 Vera Cruz Dr,37.2287689,-121.8969314
6120 Liska Ln,37.240087,-121.7976074
6130 Silberman Ave,37.2283561,-121.8802103
6150 Snell Rd,39.6178459,-89.7615806
6150 Snell Rd,39.6178459,-89.7615806
6151 Rainbow Dr,45.1049426,-89.7150432
620 Gaundabert Ln,37.2589079,-121.8547677
6200 Encinal Dr,37.234487,-121.7951398
622 Gaundabert Ln,37.2589333,-121.855066
625 South Seventh St,40.3930869,-91.3919074
625 South Sunset Ave,34.0700916,-117.9371883
6280 Shadelands Dr,37.230533,-121.83913
6384 Leyland Park Dr,37.2196485,-121.8789779
651 Dana Ave,37.3301216,-121.9251601
651 Macredes Ave,37.3375638,-121.8615561
6515 Grapevine Way,37.2205341,-121.8690651
653 Sylvandale Ave,37.2882129,-121.8247249
6560 Hanover Dr,37.299033,-122.019318
660 Sinclair Dr,44.4871684,-72.7085603
6601 Camden Ave,37.2221703,-121.8557219
6610 San Ignacio Ave,37.2265289,-121.790673
665 Wool Creek Dr,37.3149339,-121.849173
6670 San Anselmo Way,37.2301179,-121.789324
6677 Camden Ave,37.217404,-121.8444026
6677 Camden Ave,37.217404,-121.8444026
683 Sylvandale Ave,37.2880617,-121.8220653
6835 Trinidad Dr,37.219289,-121.8514963
6982 Shearwater Dr,37.2114615,-121.8372381
6990 Melvin Dr,37.306738,-122.0262667
7050 Bret Harte Dr,37.2123331,-121.8456594
725 Hellyer Ave,37.285236,-121.820827
750 N Capitol Ave Bldg D,37.3787129,-121.8513267
760 Hillsdale Ave,37.2778863,-121.8659598
762 Sunset Glen Dr,42.9027185,-88.2018559
788 Locust St,41.7928027,-89.6982828
801 Hibiscus Ln,37.3126748,-121.9731632
820 Steinbeck Dr,37.246691,-121.8570387
850 North Second St,42.2773476,-89.0791407
880 Wren Dr,37.2842589,-121.8765928
881 South Cypress Ave,34.0546773,-117.6632358
890 East William,39.9446343,-94.8139207
901 Boynton Ave,37.310489,-121.9662643
921 Fox Ln,29.838026,-97.5678746
950 Owsley Ave,37.3290857,-121.8559148
950 St. Elizabeth Dr. Rooms,37.306457,-121.91583
955 Piedmont Rd,34.0207455,-84.5212789
960 W Hedding St,37.342483,-121.917904
995 Bard St,37.3911285,-121.8382181
SJ Airport,37.363998,-121.928895
